('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855346 function calls (834383 primitive calls) in 5.671 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      288    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       61    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      158    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
    18/11    0.000    0.000    0.136    0.012 {built-in method builtins.__import__}
        2    0.000    0.000    0.021    0.011 utils.py:1(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
    44/32    0.000    0.000    0.012    0.000 css_parser.py:579(parse_pseudo_class)
      138    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
      287    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        5    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      261    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
  118/100    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       22    0.000    0.000    0.003    0.000 typing.py:523(Optional)
        1    0.000    0.000    5.671    5.671 financial_enhanced.py:1(<module>)
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       10    0.000    0.000    0.000    0.000 typing_extensions.py:794(__init_subclass__)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       21    0.000    0.000    0.000    0.000 dammit.py:1371(numeric_character_reference)
    40/31    0.000    0.000    0.012    0.000 css_parser.py:746(parse_pseudo_open)
       29    0.000    0.000    0.000    0.000 element.py:2368(get_attribute_list)
       34    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       17    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
      272    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    1.091    1.091 client.py:311(begin)
        1    0.000    0.000    0.056    0.056 client.py:1(<module>)
        1    0.000    0.000    0.190    0.190 element.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:248(__init__)
    66/44    0.000    0.000    0.006    0.000 typing.py:401(__getitem__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      132    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       11    0.000    0.000    0.001    0.000 typing_extensions.py:670(__new__)
        1    0.000    0.000    0.002    0.002 __init__.py:135(BeautifulSoup)
      177    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      207    0.000    0.000    0.000    0.000 enum.py:801(value)
      145    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    1.514    1.514 request.py:1307(do_open)
